Name,Category,Stock,Color,Size,Period,Notes
Long-Sleeved T-Shirt,Tops and Shirts,1,Green,Chest up to 91cm,,
Long-Sleeved T-Shirt,Tops and Shirts,1,White with red stripes,Age 15-16 (S),,
Vest,Vest,1,Green,XXL,,Bleach marks on the front
Shirt,Tops and Shirts,1,black,XS,,
T-Shirt,Tops and Shirts,1,Black and white striped,Large,,
Shirt,Tops and Shirts,1,Beige,Chest 14.5 in,,Stains on front and back
Cardigan,Tops and Shirts,1,Lavender,S,,"Stains on sleeves, front and back"
Sports Shorts,Trousers and Shorts,1,Black with Nike logo,M,,
Suit Trousers,Trousers and Shorts,1,Black,Waist 30inch Leg 30inch,,
Corduroy Trousers,Trousers and Shorts,1,Beige,34/32,,Paint stains on knees
Suit Trousers,Trousers and Shorts,1,Beige,6/44,,
Chinos,Trousers and Shorts,1,Beige,14,,"Discoloration on waist, grass stains on groin"
Shorts with Brown Belt,Trousers and Shorts,1,Navy ,Waist 32,,
Suit Trousers,Trousers and Shorts,1,Grey,38 regular,,Paint mark to legs
Suit Trousers,Trousers and Shorts,1,Grey,34 regular,,Stain to front left leg
Hareem Pants,Trousers and Shorts,1,Aubergine,S/M,,
Hareem Pants,Trousers and Shorts,1,Black,M/L,,
Corduroy Trousers,Trousers and Shorts,1,Beige,M,,
Suit Trousers with Suspenders ,Trousers and Shorts,1,Grey,36 regular,,
Suit Trousers,Trousers and Shorts,1,Pinstripe grey,32/33,,
Suit Trousers,Trousers and Shorts,1,Grey,32 reg,,Loose threads
Ankle Length Skirt,Dresses and Skirts,1,Grey,14,20s-50s,
Suit Trousers,Trousers and Shorts,1,Grey pinstripe,38 reg,,Ripped seams at the back and hem
Skirt,Dresses and Skirts,1,Green/Beige,12,,Bottom seam coming away
Trousers with Gold Applique ,Trousers and Shorts,1,White with gold ,32 reg,,Stains to front left leg
Suit Trousers,Trousers and Shorts,1,Grey,32 reg,,Ripped hem and cuff on right leg
Suit Trousers with Suspenders,Trousers and Shorts,1,Grey,32 reg,,
Suit Trousers,Trousers and Shorts,1,Black pinstripe,32 reg,,
Suit Trousers,Trousers and Shorts,1,Grey,30 small,,
Suit Trousers with Green Suspenders,Trousers and Shorts,1,Grey,38 reg,,
Jeans,Trousers and Shorts,1,Turquoise,8,,
Trousers with Decorated Seams (Circus),Trousers and Shorts,1,Red,M/L,,Multiple stains
Skirt,Dresses and Skirts,1,Beige,12,40s/50s,
Suit Trousers,Trousers and Shorts,1,White,18,,Stains on legs
Pleated Skirt,Dresses and Skirts,1,Beige,12,,
Smart Trousers,Trousers and Shorts,1,Grey,12,,Stains on front
Cargo Trousers,Trousers and Shorts,1,Khaki ,M/L,Military,
Jacket,Jackets and Coats,1,Multi checkered,L,50s,"Missing buttons, ripped lining, inner sleeves and pocket seams ripping"
Cardigan,Tops and Shirts,1,Green,M,,
Military Jacket,Jackets and Coats,1,Khaki,L,Military,Small stains
Military Jacket,Jackets and Coats,1,Khaki,M,Military,Multiple stains on sleeves
Work Jacket,Jackets and Coats,1,Yellow,M,70s ,
Suit Jacket,Jackets and Coats,1,Black,46 large,,
Sports Top,Tops and Shirts,1,Grey with nike logos,M,,
Thermal Leggings,Trousers and Shorts,1,Black,14,,
Dungarees,Trousers and Shorts,1,Grey,16,,
Fur Coat,Jackets and Coats,1,Black,M,,
Suit Trousers,Trousers and Shorts,1,Black,L,,
Fur Coat,Jackets and Coats,1,Tan,10,,
Military Coat,Jackets and Coats,1,Khaki,M/L,military,
Military Coat,Jackets and Coats,1,Khaki,M,Military,Significant staining on front (fake blood)
Military Coat,Jackets and Coats,1,Khaki,L,Military,Stains on front
Tailcoat,Jackets and Coats,1,Green,M/L,1800s,Some seaming issues
Military Trousers,Jackets and Coats,1,Khaki,L,Military,
Military Shirt,Tops and Shirts,1,Beige,41,Military,Few stains
